source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
osm,public_transport=platform,199,0.007008522927379024,psic,rev5,,,exact,,,category,platform public transport,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
fsq,[Community and Government > Education > College and University > College Classroom],198,0.00697330421920124,psic,rev5,,,exact,,,category,education activities tertiary primary secondary education,854,Tertiary education,,,854|8540|85402|85401,Tertiary education || Tertiary education || Private tertiary education || Public tertiary education,0.622696|0.622696|0.502477|0.499774,0.622696,semantic:fsq:education;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Housing Development],192,0.006761991970134535,psic,rev5,,,exact,,,category,Community and Government Housing Development,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
overture,pharmacy,190,0.006691554553778968,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:overture:pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED
fsq,[Business and Professional Services > Financial Service > Banking and Finance > Bank],189,0.006656335845601183,psic,rev5,,,exact,,,category,banking activities,64,"Financial Service Activities, except Insurance and Pension Funding",,,6412|64129|6411|64110|64124,"Other banking || Other banking, n.e.c. || Central banking || Central banking || Rural banking",0.668131|0.594122|0.535106|0.535106|0.531843,0.668131,semantic:fsq:bank;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Health and Beauty Service > Hair Salon],187,0.006585898429245615,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,dental_clinic,186,0.0065506797210678315,psic,rev5,,,exact,,,category,medical and dental practice activities,862,Medical and dental practice activities,,,862|86210|8621|8622|86229,"Medical and dental practice activities || Public medical and dental practice activities || Public medical and dental practice activities || Private medical and dental practice activities || Private medical and dental practice activities, n.e.c.",1.000000|0.888677|0.888677|0.882239|0.856952,1.000000,semantic:overture:dental_clinic;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Bakery],182,0.006409804888356695,psic,rev5,,,exact,,,category,bakery establishment manufacture retail food service bakery products,10|47|56,Manufacture of Food Products || Retail Trade || Food and Beverage Service Activities,,,1071|47214|10719|5629|56290,"Manufacture of bakery products || Retail sale of bakery products || Manufacture of bakery products, n.e.c. || Other food service activities || Other food service activities",0.679558|0.644667|0.638739|0.346547|0.346547,0.679558,semantic:fsq:bakery_ambiguous;retrieval:candidates,REVIEW_CANDIDATES
overture,beauty_salon,181,0.006374586180178911,psic,rev5,,,exact,,,category,hairdressing and beauty treatment activities,962,"Hairdressing, beauty treatment, day spa and similar activities",,,9622|96220|962|9621|96211,"Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing, beauty treatment, day spa and similar activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.630878|0.630878|0.577048|0.470895|0.299101,0.630878,semantic:overture:beauty_salon;retrieval:candidates,REVIEW_CANDIDATES
overture,auto_dealer,181,0.006374586180178911,psic,rev5,,,exact,,,category,retail sale of motor vehicles,4781,Retail sale of motor vehicles,,,4781|47819|47811|47812|47813,"Retail sale of motor vehicles || Retail sale of motor vehicles, n.e.c. || Retail sale of passenger motor vehicles including sedans, sport utility vehicles and passenger vans || Retail sale of commercial vehicles for public and mass transportation, including buses and jeepneys || Retail sale of commercial vehicles for freight transportation including trucks, trailers and semi-trailers",1.000000|0.939071|0.411167|0.262425|0.251664,1.000000,semantic:overture:auto_dealer;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Retail > Convenience Store],180,0.006339367472001127,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",SUBTREE,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:fsq:retail_convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,party_and_event_planning,176,0.006198492639289991,psic,rev5,,,exact,,,category,party and event planning,,,,,B|089|08|07223|08990,Mining and Quarrying || Mining and quarrying n.e.c. || Other Mining and Quarrying || Platinum ore mining || Other mining and quarrying n.e.c.,0.045917|0.043378|0.042440|0.040686|0.040231,0.045917,semantic:raw_category;retrieval:candidates,REVIEW_CANDIDATES
