source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
fsq,[Health and Medicine > Hospital],233,0.008205959005423681,psic,rev5,,,exact,,,category,Health and Medicine Hospital,,,861|R|8611|8612|86129,"Hospital activities || Human Health and Social Work Activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c.",0.441562|0.382972|0.342333|0.339584|0.323406,0.441562,retrieval:candidates,REVIEW_CANDIDATES
overture,cafe,230,0.00810030288089033,psic,rev5,,,exact,,,category,cafe,,,56104|56302|65110|6511|65120,Operation of cafeterias || Operation of cafés or coffee shops || Life insurance || Life insurance || Non-life insurance,0.166609|0.061027|0.031990|0.031990|0.026097,0.166609,retrieval:candidates,REVIEW_CANDIDATES
overture,school,230,0.00810030288089033,psic,rev5,,,exact,,,category,school,,,85530|8553|22205|4761|47610,"Driving school activities || Driving school activities || Manufacture of office or school supplies made of plastic || Retail sale of books, newspapers, stationery and other office and school supplies || Retail sale of books, newspapers, stationery and other office and school supplies",0.529472|0.529472|0.354543|0.283552|0.283552,0.529472,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Spiritual Center > Church],204,0.007184616468267944,psic,rev5,,,exact,,,category,Community and Government Spiritual Center Church,,,84113|84112|86223|64121|842,"Public administration, local government || Public administration, regional government || Private dialysis center activities || Universal banking, including specialized government banking || Provision of services to the community as a whole",0.261236|0.257337|0.209699|0.205062|0.201086,0.261236,retrieval:candidates,REVIEW_CANDIDATES
overture,elementary_school,203,0.00714939776009016,psic,rev5,,,exact,,,category,elementary school,,,85530|8553|85203|85204|85201,Driving school activities || Driving school activities || Public primary or elementary education for children with special needs || Private primary or elementary education for children with special needs || Public primary or elementary education for children without special needs,0.346885|0.346885|0.271279|0.268973|0.265545,0.346885,retrieval:candidates,REVIEW_CANDIDATES
osm,public_transport=platform,199,0.007008522927379024,psic,rev5,,,exact,,,category,platform public transport,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED
fsq,[Community and Government > Education > College and University > College Classroom],198,0.00697330421920124,psic,rev5,,,exact,,,category,Community and Government Education College and University College Classroom,,,85|Q|84113|84112|64121,"Education || Education || Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking",0.356113|0.356113|0.258732|0.255821|0.253371,0.356113,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Housing Development],192,0.006761991970134535,psic,rev5,,,exact,,,category,Community and Government Housing Development,,,84113|84112|72|64121|842,"Public administration, local government || Public administration, regional government || Scientific Research and Development || Universal banking, including specialized government banking || Provision of services to the community as a whole",0.262342|0.257824|0.227934|0.206791|0.198683,0.262342,retrieval:candidates,REVIEW_CANDIDATES
overture,pharmacy,190,0.006691554553778968,psic,rev5,,,exact,,,category,pharmacy,,,21|4643|46430|21003|46107,"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations || Wholesale of pharmaceutical and medical goods || Wholesale of pharmaceutical and medical goods || Preparation of botanical products for pharmaceutical use || Wholesale on a fee or contract basis, of chemical and pharmaceutical products",0.213378|0.185672|0.185672|0.159467|0.144762,0.213378,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Financial Service > Banking and Finance > Bank],189,0.006656335845601183,psic,rev5,,,exact,,,category,Business and Professional Services Financial Service Banking and Finance Bank,,,941|64|6412|66|829,"Activities of business, employers and professional membership organizations || Financial Service Activities, except Insurance and Pension Funding || Other banking || Activities Auxiliary to Financial Service and Insurance Activities || Business support service activities n.e.c.",0.301575|0.269524|0.263033|0.255814|0.253403,0.301575,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Health and Beauty Service > Hair Salon],187,0.006585898429245615,psic,rev5,,,exact,,,category,Business and Professional Services Health and Beauty Service Hair Salon,,,941|829|9622|96220|8299,"Activities of business, employers and professional membership organizations || Business support service activities n.e.c. || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Other business support service activities n.e.c.",0.325709|0.271615|0.264531|0.264531|0.251007,0.325709,retrieval:candidates,REVIEW_CANDIDATES
overture,dental_clinic,186,0.0065506797210678315,psic,rev5,,,exact,,,category,dental clinic,,,86222|86226|86225|86224|86221,Private pediatric clinic activities || Private dermatology clinic activities || Private obstetrics and gynecology clinic activities || Private optometry and ophthalmology clinic activities || Private dental practice activities,0.354211|0.340537|0.267064|0.263041|0.248799,0.354211,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Bakery],182,0.006409804888356695,psic,rev5,,,exact,,,category,Dining and Drinking Bakery,,,1071|10719|11054|47214|46312,"Manufacture of bakery products || Manufacture of bakery products, n.e.c. || Manufacture of bottled drinking water || Retail sale of bakery products || Wholesale of sugar, confectionery and bakery products",0.385433|0.365416|0.352095|0.347662|0.244246,0.385433,retrieval:candidates,REVIEW_CANDIDATES
